lang,n,runtime_mean_ms,runtime_p95_ms,welch_t_pvalue,mannwhitney_pvalue,cohens_d_java_minus_python
java,300,10011.68,34812.3,1.4366613511449779e-11,8.297830752362579e-10,0.5270510266492325
python,200,4375.14,8923.399999999996,1.4366613511449779e-11,8.297830752362579e-10,0.5270510266492325
