lang,n,runtime_mean_ms,runtime_p95_ms,welch_t_pvalue,mannwhitney_pvalue,cohens_d_java_minus_python
java,300,18338.816666666666,54464.05,0.00037161918956151504,2.478864449996102e-09,0.2802048228166043
python,200,12868.77,27445.499999999996,0.00037161918956151504,2.478864449996102e-09,0.2802048228166043
