lang,n,runtime_mean_ms,runtime_p95_ms,welch_t_pvalue,mannwhitney_pvalue,cohens_d_java_minus_python
java,300,96897.47666666667,287797.05,1.7055316849488268e-16,3.810920366516198e-08,0.6635137771678521
python,200,33836.86,91577.55,1.7055316849488268e-16,3.810920366516198e-08,0.6635137771678521
