lang,n,runtime_mean_ms,runtime_p95_ms,welch_t_pvalue,mannwhitney_pvalue,cohens_d_java_minus_python
java,300,632.21,1625.45,2.9285187933727525e-27,6.088489027810161e-10,-0.8966702179436024
python,200,1057.985,1208.1499999999999,2.9285187933727525e-27,6.088489027810161e-10,-0.8966702179436024
